City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,tchibanga,-2.85,11.0333,26.14,75,95,2.74,GA,1696352571
84,kerikeri,-35.2268,173.9474,4.95,93,7,1.82,NZ,1696352306
85,hamilton,39.1834,-84.5333,30.35,50,0,1.34,US,1696352458
86,college,64.8569,-147.8028,-1.63,91,100,2.57,US,1696352572
87,masalovka,48.4053,40.2706,15.82,47,19,3.53,RU,1696352572
88,kailua-kona,19.6406,-155.9956,27.0,80,100,2.68,US,1696352316
89,nanao,37.05,136.9667,17.4,70,100,3.2,JP,1696352573
90,port mathurin,-19.6833,63.4167,23.51,78,1,3.92,MU,1696352573
91,salym,60.0625,71.4789,9.94,92,95,1.96,RU,1696352574
92,san patricio,28.017,-97.5169,32.4,63,31,3.61,US,1696352575
93,cestos city,5.46,-9.5828,26.37,78,98,5.17,LR,1696352575
94,cozumel,20.5083,-86.9458,31.64,89,12,1.34,MX,1696352576
95,puerto natales,-51.7236,-72.4875,12.25,54,40,7.2,CL,1696352576
96,chimore,-16.9833,-65.1333,35.29,39,79,2.54,BO,1696352577
97,pisco,-13.7,-76.2167,22.03,68,0,4.63,PE,1696352578
98,aitape,-3.1374,142.3475,24.76,85,90,1.76,PG,1696352578
99,muang phon-hong,18.4928,102.4172,24.88,94,47,1.19,LA,1696352579
100,westport,41.1415,-73.3579,27.72,64,3,0.89,US,1696352517
101,motygino,58.1831,94.7592,7.1,90,100,2.68,RU,1696352581
102,vadso,70.0744,29.7487,3.09,75,75,2.57,NO,1696352581
103,arrifes,37.7667,-25.7,22.14,83,40,4.63,PT,1696352581
104,sinop,41.7711,34.8709,9.97,85,62,0.81,TR,1696352582
105,nuuk,64.1835,-51.7216,5.34,70,75,0.0,GL,1696352050
106,san antonio de pale,-1.4014,5.6325,25.51,83,34,4.52,GQ,1696352583
107,qaqortoq,60.7167,-46.0333,2.63,89,100,1.9,GL,1696352583
108,roma,43.2128,-75.4557,27.07,72,1,1.34,US,1696352545
109,nzega,-2.479,29.5564,17.11,44,76,0.79,RW,1696352584
110,banikoara,11.2985,2.4386,23.93,92,100,2.26,BJ,1696352367
111,port saint john's,-31.6229,29.5448,21.3,81,0,5.22,ZA,1696352585
112,lae,-6.7221,146.9847,24.13,89,53,1.07,PG,1696352586
113,qamdo,31.1667,97.2333,6.4,68,27,2.16,CN,1696352586
114,akureyri,65.6835,-18.0878,4.96,87,75,3.09,IS,1696352587
115,arraial do cabo,-22.9661,-42.0278,23.98,73,40,3.6,BR,1696352588
116,quelimane,-17.8786,36.8883,23.97,64,40,4.63,MZ,1696352588
117,whitehorse,60.7161,-135.0538,5.05,92,100,4.63,CA,1696352589
118,mo i rana,66.3128,14.1428,9.07,94,75,1.03,NO,1696352589
119,meulaboh,4.1363,96.1285,25.64,86,100,2.75,ID,1696352590
120,mejit,10.2753,170.8646,28.21,80,90,7.53,MH,1696352590
121,luanda,-8.8368,13.2343,25.0,78,75,5.14,AO,1696352479
122,bredasdorp,-34.5322,20.0403,15.27,86,82,3.0,ZA,1696352591
123,isafjordur,66.0755,-23.124,4.02,75,75,5.66,IS,1696352591
124,petropavlovsk-kamchatsky,53.0452,158.6483,8.03,96,75,6.71,RU,1696352592
125,al jawf,29.5,38.75,26.83,33,100,5.42,SA,1696352592
126,binbrook,43.121,-79.804,29.38,56,0,3.09,CA,1696352593
127,baker city,44.7749,-117.8344,12.0,91,100,0.5,US,1696352507
128,papatowai,-46.5619,169.4708,9.92,48,78,2.23,NZ,1696352594
129,borkum,53.5809,6.6915,16.08,73,71,12.92,DE,1696352594
130,armidale,-30.5167,151.65,9.91,66,1,2.48,AU,1696352595
131,chauk,20.8833,94.8167,25.52,85,11,4.37,MM,1696352595
132,kiunga,-6.1219,141.2906,22.87,99,100,1.01,PG,1696352596
133,lebu,-37.6167,-73.65,12.0,60,33,3.92,CL,1696352596
